                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1113,                0.52389,                 0.9418,                0.98395,                0.96835,                0.99208,                0.70937,                  1.086,                0.45024,                0.94363,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0992,                0.51588,                 0.9392,                0.97994,                0.96998,                0.99143,                0.70578,                 1.0893,                 0.4539,                0.94381,               0.000614,               0.000614,               0.000614
                     72,                 1.0917,                 0.5138,                 0.9395,                0.98408,                0.96725,                0.99185,                0.70524,                 1.0901,                0.44877,                0.94335,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0991,                0.51581,                0.94024,                0.98406,                0.96889,                0.99177,                0.70959,                 1.0884,                0.44837,                0.94294,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0932,                0.51387,                0.94066,                0.98187,                0.96958,                0.99154,                0.70681,                 1.0824,                0.45038,                0.94115,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0908,                0.51481,                0.93886,                0.98388,                0.96998,                0.99247,                 0.7125,                 1.0769,                0.44663,                0.94096,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0921,                0.51063,                0.93972,                 0.9819,                0.97142,                0.99188,                0.71031,                 1.0833,                0.44497,                0.94192,               0.000515,               0.000515,               0.000515
                     77,                  1.091,                0.50854,                0.93965,                0.98437,                 0.9686,                0.99218,                 0.7121,                 1.0775,                0.44392,                0.93926,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0814,                0.50607,                0.93303,                0.98426,                0.96977,                0.99196,                0.71636,                 1.0681,                0.43788,                0.93615,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0756,                0.50158,                0.93415,                0.98258,                0.96956,                0.99248,                0.71456,                 1.0739,                0.43838,                0.93797,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0813,                0.50393,                0.93311,                0.98357,                0.96577,                0.99218,                 0.7147,                 1.0716,                0.43908,                0.93759,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0727,                 0.5013,                0.93146,                0.98344,                0.97209,                0.99282,                0.71421,                 1.0736,                 0.4366,                0.93645,               0.000416,               0.000416,               0.000416
                     82,                   1.07,                0.49736,                0.93352,                0.98651,                0.97044,                0.99205,                0.71512,                 1.0769,                0.43707,                0.93972,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0703,                0.49725,                0.93342,                 0.9865,                0.97002,                0.99271,                0.71899,                  1.071,                 0.4344,                0.93775,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0674,                0.49534,                0.92974,                0.98433,                 0.9725,                 0.9927,                0.71808,                 1.0679,                0.43448,                0.93615,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0678,                0.49512,                0.93053,                0.98506,                0.97204,                0.99267,                0.71561,                 1.0658,                0.43432,                0.93529,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0603,                0.49256,                0.92819,                0.98736,                0.97065,                0.99276,                0.71962,                 1.0685,                0.43221,                0.93535,               0.000317,               0.000317,               0.000317
                     87,                 1.0626,                0.49206,                0.92966,                0.98519,                0.97352,                0.99281,                0.71754,                  1.065,                0.42792,                0.93493,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0596,                0.48976,                0.93211,                0.98339,                 0.9743,                0.99249,                0.71822,                 1.0659,                0.43132,                0.93487,              0.0002774,              0.0002774,              0.0002774
